No	TMNo	EnNo	Name	INOUT	Mode	DateTime
540	1	145		0	0	2019/10/07 06:51:48
541	1	149		0	0	2019/10/07 06:54:10
542	1	42		0	0	2019/10/07 06:54:15
543	1	3		0	0	2019/10/07 06:54:45
544	1	142		0	0	2019/10/07 06:56:06
545	1	184		0	0	2019/10/07 06:58:01
546	1	182		0	0	2019/10/07 06:58:07
547	1	151		0	0	2019/10/07 06:58:37
548	1	170		0	0	2019/10/07 07:00:50
549	1	171		0	0	2019/10/07 07:01:04
550	1	187		0	0	2019/10/07 07:01:10
551	1	186		0	0	2019/10/07 07:01:16
552	1	153		0	0	2019/10/07 07:02:27
553	1	162		0	0	2019/10/07 07:02:48
554	1	175		0	0	2019/10/07 07:02:58
555	1	176		0	0	2019/10/07 07:03:01
556	1	146		0	0	2019/10/07 07:03:46
557	1	173		0	0	2019/10/07 07:03:51
558	1	17		0	0	2019/10/07 07:07:58
559	1	60		0	0	2019/10/07 07:30:03
560	1	156		0	0	2019/10/07 07:52:02
561	1	61		0	0	2019/10/07 08:55:37
562	1	187		0	0	2019/10/07 17:02:02
563	1	151		0	0	2019/10/07 17:02:09
564	1	153		0	0	2019/10/07 17:02:21
565	1	186		0	0	2019/10/07 17:03:04
566	1	175		0	0	2019/10/07 17:03:20
567	1	171		0	0	2019/10/07 17:03:36
568	1	146		0	0	2019/10/07 17:04:32
569	1	42		0	0	2019/10/07 17:04:47
570	1	142		0	0	2019/10/07 17:04:58
571	1	129		0	0	2019/10/07 17:05:36
572	1	61		0	0	2019/10/07 17:05:49
573	1	145		0	0	2019/10/07 17:06:27
574	1	170		0	0	2019/10/07 17:06:33
575	1	60		0	0	2019/10/07 17:08:10
576	1	3		0	0	2019/10/07 17:08:31
577	1	156		0	0	2019/10/07 17:11:09
578	1	165		0	0	2019/10/07 17:11:47
579	1	182		0	0	2019/10/07 17:12:45
580	1	152		0	0	2019/10/07 17:20:59
581	1	162		0	0	2019/10/07 17:21:34
582	1	17		0	0	2019/10/07 17:24:05
583	1	173		0	0	2019/10/07 17:27:10
584	1	154		0	0	2019/10/07 17:28:51
585	1	158		0	0	2019/10/07 17:58:15
586	1	184		0	0	2019/10/07 19:03:34
587	1	149		0	0	2019/10/07 19:08:59
588	1	176		0	0	2019/10/07 19:10:39
589	1	159		0	0	2019/10/07 19:14:15
590	1	14		0	0	2019/10/07 20:04:53
591	1	14		0	0	2019/10/08 05:54:08
592	1	170		0	0	2019/10/08 06:24:03
593	1	154		0	0	2019/10/08 06:31:58
594	1	156		0	0	2019/10/08 06:34:25
595	1	159		0	0	2019/10/08 06:40:09
596	1	42		0	0	2019/10/08 06:40:51
597	1	149		0	0	2019/10/08 06:42:34
598	1	184		0	0	2019/10/08 06:42:47
599	1	165		0	0	2019/10/08 06:46:45
600	1	3		0	0	2019/10/08 06:48:02
601	1	145		0	0	2019/10/08 06:49:18
602	1	175		0	0	2019/10/08 06:50:58
603	1	158		0	0	2019/10/08 06:56:28
